cues,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92
appel,téléphone,téléphone,réponse,réponse,stage,téléphone,cours,téléphone,téléphone,appel,cri,journal,nan,décrocher,montagne,téléphone,téléphone,téléphone,téléphone,nan,téléphone,téléphone,crier,téléphone,téléphone,projet,téléphone,téléphone,bip,téléphone,téléphone,téléphone,téléphone,répondre,demande,téléphone,téléphone,alarme,appel,téléphone,communication,téléphone,téléphone,téléphone,répondre,profondeur,téléphone,téléphone,téléphone,nan,présent,juin,téléphone,téléphone,conversation,téléphone,sonnerie,allo,téléphone,téléphone,téléphone,téléphone,secours,téléphone,classe,téléphone,téléphone,nombre,téléphone,téléphone,téléphone
appel,maman,urgence,faire,cellulaire,signal,réseau,touche,mélodie,offre,téléphonique,juin,sos,pomme,raccrocher,soulèvement,vocal,cordon,cri, ,aide,échange,phare,coeur,refuser,onde,écouter,guerre,aide,tribunal,phare,masqué,justice,alerte,besoin,cri,SOS,embrouille,alarmant,téléphone,canular,entente,cri,social,général,vidéo,mission,demande,sonnerie,nan,candidature,guerre,débarquement,guerre,téléphone,urgence,nan,mobilisation,cours,SOS,demande,manqué,bloquer,cri,message,juin,urgence,guerre,communication,justice,décrocher,cri
lutte,combat,sport,catch,sport,olympe,gagner,grecque,combat,combat,lutte,combat,combat,combat,faim,combat,combat,combat,combat,bagarre,pouvoir,judo,combat,gladiateur,corps,combat,classe,ouvrière,combat,force,résistance,combat,lutteur,catch,sport,bagarre,sport,bagarre,combat,lutte,catch,vie,combat,combat,sport,sport,combat,combat,bataille,combat,combat,combat,finale,grecque,combat,bataille,sport,combat,sport,combat,bataille,combat,combat,combat,amazone,combat,sport,combat,bagarre,combat,judo,combat
lutte,épreuve,révolte,armée,révolution,grec,nan,idée,nan,zut,lutter,tatami,romaine,ambition,combat,finale,tatami,catch,instrument,amour,jeu,éradiquer,épreuve,cause,esclave,pensée,ouvrière,physique,gréco-romaine,force,résistance,femme,cause,sumo,battre,sumo,combattre,sport,conviction,combat,baston,courage,combat,justice,classe,défendre,jeu,tortue,reproduction,grecque,sport,socialisme,classes,combat,ouvrier,Grèce,sumo,sol,grec,classes,sport,sumo,défaite,effort,art,travail,classes,affrontement,sport,acharné,violente
mari,femme,mariage,trouble,femme,femme,femme,homme,femme,mec,mari,mariage,femme,épouse,femme,femme,femme,femme,couple,femme,femme,épouse,femme,femme,bague,femme,mariage,femme,poids,dieu,femme,époux,femme,femme,mariage,époux,épouse,femme,femme,mari,femme,contrat,femme,époux,femme,épouse,femme,homme,femme,époux,femme,femme,époux,femme,femme,épouse,épouse,amour,femme,époux,femme,femme,femme,femme,femme,femme,femme,femme,femme,femme,femme,femme
mari,strict,amant,autre,âme,contrat,homme,impôt,dévoué,nan,femme,tradition,indépendant,rôle,adultère,noeud,nan,loyauté,femme,conjoint,mairie,divorce,cérémonie,patriarcat,divorce,enfant,célébrer,tradition,patriarcat,foot,responsable,homme,impôt,père,famille,contrainte,blocage,nan,argent,femme,épouse,choix,amant,famille,aventure,bague,enfant,partenaire,meuble,bricolage,mari,père,famille,ancien,prison,alliance,femme,bague,alliance,ami,ménage,mairie,patriarche,nan,violent,fête,homme,nan,engagement,alliance,père,nan,domination,homme
vin,alcool,blanc,boire,raisin,liquide,boire,tanique,boire,verre,vin,rouge,soirée,alcool,verre,boisson,raisin,rouge,rouge,bouteille,rouge,carafe,ivresse,alcool,verre,alcool,alcool,boisson,alcool,alcool,rouge,blanc,rouge,raisin,champagne,ivresse,alcool,alcool,champagne,vin,rouge,plaisir,verre,alcool,fromage,boire,rouge,raisin,raisin,alcool,alcool,rouge,breuvage,ivre,rouge,eau,rouge,plaisir,rosé,boisson,rouge,bouteille,alcool,soif,bouteille,eau,bourré,alcool,alcool,boire,eau,alcool
vin,bourré,tonneau,dieu,gastronomie,pépin,bière,fumigateur,sang,vient,alcool,fête,rouge,amusement,plaisir,côteaux,sécateur,recette,adulte,raisin,cépage,cépage,vendange,jus,repas,culture,sulfite,culture,ivresse,sec,rouge,apéritif,soleil,gai,détente,bois,Dionysos,rire,moment,boire,nan,convivialité,alcool,danger,fromage,bière,sud,alcoolisme,vinaigre,fête,manger,verre,théâtre,France,fête,champagne,dégustation,sociabilité,liège,voyage,vignoble,cirrhose,noblesse,bouteille,apollinaire,convivialité,fermentation,rouge,ivresse,pétillant,apéritif
rôle,pièce,théâtre,théâtre,jouer,acteur,cinéma,jeu,théâtre,jeu,nan,théâtre,théâtre,responsabilité,théâtre,jeu,acteur,jeu,jeu,jeu,théâtre,jeu,tâche,pièce,manager,jeu,jeu,jeu,place,acteur,action,jeu,actrice,acteur,acteur,fonction,jeu,acteur,actrice,rôle,acteur,autrui,théâtre,personnage,place,théâtre,pièce,genre,but,personnage,acteur,théâtre,social,jeu,théâtre,jeu,théâtre,film,théâtre,tâche,jouer,personnage,théâtre,moi,choix,théâtre,acteur,spectacle,acteur,théâtre,théâtre,film
rôle,position,rêve,jouer,théâtre,coulisse,mauvais,écosystème,modeste,nan,comédien,nan,cascadeur,nan,jeu,visage,près,personnage,ton,nan,famille,théâtre,film,comédie,mère,jeu,jeu,comédie,jeu,policier,modèle,modèle,film,sens,cinéma,film,dévotion,nan,jeu,principal,travail,beau,entrainement,jeu,jeu,comédie,jeu,vie,théâtre,jeu,théâtre,pièce,fort,théâtre,théâtre,acteur,Scapin,jeu,société,théâtre,nan,double,jeu,manichéen,responsabilité,masque,parental,autorité,jeu,social,faux,jouer
horizon,nord,lointain,paysage,ciel,soleil,ligne,soleil,voyage,ligne,horizon,paysage,mots,futur,mer,ligne,ciel,lointain,lointain,loin,lointain,ciel,lointain,ligne,mer,mer,lointain,mer,paysage,loin,lointain,loin,mer,soleil,vacances,ouest,ligne,lointain,solaire,horizon,ciel,regard,mer,ligne,paysage,lointain,loin,lointain,loin,soleil,futur,soleil,distance,loin,nan,coucher,ciel,souvenir,paysage,paysage,ligne,loin,ligne,loin,loin,mer,mer,lointain,paysage,lointain,ligne,mer
horizon,mer,espoir,soleil,mer,coucher,avenir,nan,réflexion,soleil,ciel,boucher,vertical,ambition,beau,aube,voilier,bleu,nez,longitude,inconnu,infini,intouchable,espoir,voilier,bateau,coucher,avenir,loin,plat,loin,bateau,futur,amoureux,nature,escapade,jumelles,sombre,pluvieux,loin,perception,loin,loin,avenir,je,photo,mer,espoir,flou,possibilité,loin,toucher,nausée,évasion,étendue,voyage,vue,proximité,distance,échappatoire,avenir,continent,limite,loin,espoir,objectif,soleil,plage,avenir,tour,loin
jambe,femme,pied,course,bras,poulet,pied,bois,bras,bouche,jambe,pied,entre,bras,pied,pied,pied,droite,courir,pied,bras,pied,pieds,pied,main,pieds,corps,pied,pied,pied,bras,bas,pied,pied,plâtre,bras,corps,corps,bras,jambe,tibia,corps,membre,membre,pied,pied,bois,corps,pied,marcher,pied,bras,membre,corps,cuisse,tibia,pied,marcher,main,main,droite,pied,marcher,bras,bras,bras,corps,genou,genou,pied,pied,pied
jambe,sensualité,bois,nan,extrémité,membre,membre,lent,bois,pirate,bas,cou,amputer,nan,cuisse,athlétisme,béquille,sciatique,bois,stabilité,mouvement,longiligne,debout,liberté,athlétisme,compétition,courir,soutenir,poils,chaussette,marche,jupe,mine,tête,déplacement,claudicant,stabilité,bois,trouble,fine,pirate,déplacement,membre,course,ennui,marcher,bois,bois,bois,basket,main,vélo,bois,athlétisme,marcher,courir,marcher,varice,marcher,cassée,fémur,cheval,orthopédie,nan,prothèse,cyclisme,courir,homme,manchot,mollet,mollet,collant,courir
page,livre,livre,savoir,livre,livre,livre,blanche,livre,livre,page,livre,livre,livre,feuille,livre,cahier,livre,lire,livre,livre,livre,livre,feuille,livre,jaune,livre,livre,livre,numéro,blanche,livre,[],livre,livre,livre,livre,livre,papier,page,une,support,livre,livre,livre,livre,livre,livre,blanche,livre,lecture,livre,feuille,livre,feuille,blanche,livre,livre,livre,livre,tourner,livre,livre,jaune,format,papier,livre,livre,livre,livre,marque,livre
page,histoire,magie,mémoire,papier,reine,tourner,perforée,refermer,nan,blanche,blancheur,nan,pensée,livre,nan,histoire,valet,sage,écrit,tourner,marque,blanche,blanche,écriture,jaune,texte,écriture,marque,feuille,blanche,vie,thé,valet,histoire,lecture,chevalier,blanche,tourner,vide,tourner,moment,marque,épisode,annonce,lire,mot,possibilité,nan,histoire,tourner,nan,changement,feuille,début,nan,départ,blanche,religion,espace,logiciel,tourner,inspiration,format,poète,actrice,numéro,rédaction,valet,tourner,tourner
fil,aiguille,coutûre,mythologie,rouge,aiguille,ligne,araignée,couture,tisser,fil,couture,nan,aiguille,coudre,rasoir,dentaire,aiguille,bobine,dent,rouge,aiguille,couture,coudre,couture,aiguille,couture,laine,corde,câble,rouge,couture,rasoir,aiguille,coudre,tissu,ligne,coudre,fin,fil,couture,lien,coudre,lien,rouge,coudre,cuivre,téléphone,conducteur,eau,eau,corde,conducteur,rasoir,aiguille,actualité,couture,Ariane,couture,linge,aiguille,couture,aiguille,aiguille,actualité,fer,couture,rouge,soie,couture,rouge,couture
fil,couture,funambule,fer,bobine,vêtement,couper,nan,conducteur,nan,dentaire,tordre,rasoir,nan,fin,destin,dentaire,soie,bouche,dent,rasoir,histoire,conversation,vie,téléphone,électronique,destin,pensée,rasoir,aiguille,rasoir,rasoir,actualité,dent,tricot,chemin,histoire,vie,funambule,couture,aiguille,coup,artisanat,Ariane,Ariane,bobine,tissu,tissage,équilibriste,électrique,araignée,conducteur,labyrinthe,dentaire,aiguille,aiguille,aiguille,Ariane,lien,retordre,lin,création,histoire,funambule,bave,actualité,Ariane,actualité,continuité,couture,tendu,pelote,fin
soeur,femme,amour,nan,frère,frère,frère,âme,frère,frère,soeur,mienne,frère,frère,frère,frère,frère,frère,famille,frère,frère,frère,famille,frère,jumelle,frère,famille,frère,frère,famille,frère,sang,frère,frère,chiante,frère,frère,frère,nièce,soeur,frère,famille,frère,fraternité,frère,frère,frère,sororité,frère,frère,frère,frère,âme,frère,famille,filiation,frère,amour,lien,fratrie,frère,frère,frère,frère,mère,frère,frère,frère,frère,frère,frère,frère
soeur,mignonne,nan,âme,nan,famille,complicité,soutien,coeur,coeur,frère,jumelle,frangine,rôle,fille,lien,dispute,amour,dieu,frère,fille,coeur,nan,âme,réconfort,anniversaire,commun,religieuse,complicité,soutien,complice,rivalité,monastère,ennemi,lien,inceste,parenté,jumelle,ami,famille,sa,attachement,claire,amitié,vêtement,jumelle,tante,amie,religieuse,confidente,lien,sang,curé,église,famille,amour,macaron,amitié,amitié,filiation,solidarité,religion,religion,loup-garou,jumelle,pleurs,sang,religion,fraternel,religion,jumelle,complicité
preuve,justice,meurtre,évidence,enquête,crime,fait,évidence,nan,dire,preuve,témoin,justice,évidence,élément,démonstration,doute,indice,trace,juge,irréfutable,cause,fait,police,loupe,fait,science,crime,exemple,évidence,argument,défense,arme,enquête,nan,indice,coupable,évidence,pensée,preuve,témoin,certitude,police,témoin,réel,évidence,enquête,enquête,enquête,fait,acte,évidence,appui,vrai,papier,indication,police,enquête,témoin,fait,prouver,enquête,police,donner,mathématiques,crime,évidence,nan,évidence,évident,pieuvre,indice
preuve,procès,sorcier,trace,évidence,audit,irréfutable,meurtre,vivante,conspiration,indice,trois,trucage,inculpation,fait,justice,crime,réfutable,meurtre,enquête,mathématiques,enquête,meurtre,trouver,recherche,investigation,enquête,thriller,enquête,crime,inspecteur,responsabilité,crime,nan,réponse,nan,indice,tangible,indice,paperasse,vérité,police,justice,examen,procès,accusé,incriminant,crime,animé,démo,noir,viol,tribunal,acte,appui,alibi,empreinte,fausse,polar,enquêter,science,alibi,vérité,procès,confiance,confiance,judiciaire,police,enquête,nan,détective
morceau,petit,viande,viande,gâteau,bois,bout,pièce,musique,bout,morceau,musique,dinde,musique,bout,pièce,pain,bout,musique,sucre,viande,pain,partie,gâteau,pain,bout,part,chanson,bout,partie,pain,viande,bout,part,viande,gâteau,bout,pain,éclat,morceau,pain,fragment,fromage,bout,bout,couper,pain,puzzle,miette,bout,miette,part,part,pain,fromage,bout,pain,musique,bout,partie,part,part,partie,fromage,bout,verre,biopsie,pain,viande,viande,bout,bout
morceau,gâteau,lune,rap,portion,coupe,musique,déchet,pain,pièce,pain,égalité,tube,nan,bout,choix,chanson,viande,gâteau,sucre,musique,partiel,musique,acceptable,musique,manger,musique,peau,sucre,fromage,chemin,pain,papier,quart,disque,part,boucle,bois,lâcher,petit,part,crotte,sélection,musique,goûter,viande,viande,gâteau,fragment,puzzle,fromage,pain,gâteau,imparfait,bout,triangle,fromage,séparation,tube,viande,souris,composant,fragment,bout,cracher,musique,nan,pain,découper,échantillon,part,musique,reste,fromage
gauche,droite,droite,politique,droite,droite,droite,politique,droite,droite,gauche,politique,droite,droite,droite,droite,droite,droite,côte,droite,droite,droite,droite,main,nan,droite,sens,droit,gaucher,ouest,droite,politique,droite,droite,droite,droite,droite,droite,droite,gauche,droite,convention,droite,sens,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,tatouage,ambidextre,droite,droite,droite,droite,droite,main,droite,droite,droite,droite,droite,droite,droite
gauche,politique,coeur,communisme,sens,lieu,maladroit,permis,coeur,nan,droite,extrême,centre,babord,position,maladresse,politique,orientation,démon,politique,maladroit,dextralité,politique,intellect,politique,sens,maladroit,Valls,ambidextre,flèche,droite,danser,Amérique,maladroit,indication,humaniste,maladroit,parti,politique,droite,politique,égalité,direction,maladroit,rouge,direction,politique,maladroit,politique,coeur,sens,rouge,rêverie,communisme,droite,socialiste,communisme,politique,maladroit,politique,socialisme,parti,politique,bâbord,droite,maladroit,politique,parti,nan,communisme,politique,main
doigt,main,ongle,main,oeil,direction,main,bague,main,ongle,doigt,ongle,pouce,toucher,main,ongle,main,main,main,pied,main,main,main,main,main,sexe,membre,index,bague,majeur,ongle,main,ongle,main,pied,index,main,main,auriculaire,doigt,index,outil,main,main,main,main,main,main,main,toucher,main,index,ongle,main,main,pointer,empreinte,manuel,manuel,main,main,main,main,cinq,index,pouce,bague,majeur,nez,main,main,main
doigt,alliance,crochu,piano,cinq,empreinte,fée,coupé,mariage,peut,main,griffer,pénétration,possibilité,pouce,soupçon,piano,bague,goûter,cinq,fracture,petit,piano,toucher,hache,fiançailles,toucher,sensation,ongle,honneur,nan,tableau,alliance,préhension,mariage,gratter,ongle,bras,main,nez,ordre,piano,bague,bague,vernis,tactile,empreinte,nan,création,pied,alliance,alliance,empreinte,rançon,pointer,whisky,direction,maniable,montrer,trace,alcool,pointer,sclérodermie,bague,lutin,préliminaire,gant,écrire,alliance,bague,pointer
garçon,fille,fille,genre,fille,fille,fille,nan,fille,fille,garçon,fille,fille,masculin,fille,fille,fille,fille,enfant,fille,fille,fille,fille,fille,fille,fille,personne,fille,fille,dieu,fille,masculin,fille,fille,fille,fille,fille,fille,adolescence,garçon,fille,choix,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,homme,fille,fille,fille,fille,enfant,genre,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille
garçon,nan,perdu,dominant,mâle,nan,manqué,pêche,manqué,garçon,fille,manqué,transsexuel,reconnaissance,homme,genre,nan,fort,vieillir,pantalon,pouvoir,genre,enfant,force,football,cartes,genre,sexe,privilégié,nan,mystère,bille,chanson,nan,nan,privilège,avantage,bagarreur,bébé,fille,petit,test,homme,nan,manque,nan,football,jouet,nan,ma,enfant,sport,enfant,mythe,homme,fille,vêtement,bagarre,salopette,chauve,XY,jeunesse,serveur,voiture,pénis,genre,immature,fort,bagarre,masculin,genre,construction,turbulent
façon,forme,aimer,faire,faire,faire,manière,garçon,manière,manière,façon,manière,être,manière,manière,manière,manière,faire,manière,faire,faire,manière,manière,manière,moyen,chose,manière,faire,manière,manière,manière,autre,façonner,manière,manière,manière,moyen,habitude,manière,façon,manière,attitude,manière,mode,manière,faire,mille,manière,manière,vivre,manière,contre,ma,faire,manière,manière,forme,manière,manière,manière,faire,manière,manière,manière,faire,manière,manière,manière,nan,manière,garçon,manière
façon,forme,nan,toute,nan,construire,moyen,poterie,délicate,maçon,être,sans,flacon,éducation,technique,contre,style, ,chef, ,maçon,recette,artisan,forme,recette,politesse,moyen,expertise,artisanat,manière,manière,garçon,éducation,artisanat,goût,contrainte,truelle,nan,snobisme,manière,garçon,présent,manière,être,faux,nan,artisanat,contrefaçon,nan,nan,propre,principe,technique,sans,nan,manière,manière,penser,art,contre,demande,singularité,nan,nan,art,faire,être,nan,multiple,manière,créer,moyen,toute
chambre,maison,lit,hôtel,coucher,nan,pièce,dormir,relaxer,lit,chambre,repos,dortoir,maison,enfant,lit,lit,pièce,jouer,pot,lit,lit,lit,lit,lit,lit,étudiant,lit,dormir,calme,lit,dormir,lumière,lit,bordel,lit,repos,lit,lit,chambre,lit,intimité,lit,repos,dormir,lit,lit,pièce,lit,lit,sommeil,lit,pièce,pièce,salle,lit,lit,cocon,confort,maison,lit,lit,dormir,lit,lit,lit,coucher,repos,lit,lit,maison,dormir
chambre,douillet,rêve,soi,rêver,latte,froide,hochet,froide,blague,dormir,prison,intime,intimité,maison,logis,auberge,passion,travail,sommeil,cocon,pot,cocon,intimité,rangement,nan,pièce,discrétion,noire,sale,cocon,noire,intime,cuisine,privée,photo,calme,hôtel,souvenir,pièce,couette,antre,pièce,noir,violon,cuisine,veilleuse,soi,hôpital,secret,maison,cheminée,oreille,froide,entrée,rêve,repos,détendu,immobilier,univers,jouet,nan,musique,maison,jaune,hôpital,jardin,sommeil,froide,intimité,confort
question,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,interrogation,question,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,interrogation,réponse,phrase,réponse,réponse,poser,réponse,[],interrogation,réponse,interrogation,réponse,réponse,réponse,réponse,réponse,réponse,question,question,doute,problème,réponse,interrogation,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,proposition,réponse,doute,réponse,réponse,poser,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse,réponse
question,sciences,savoir,piège,interrogation,point,champion,réfléchir,apprentissage,nan,réponse,indiscrétion,nan,apprentissage,interrogation,quête,réflexion,interrogation,vérité,ver,réflexion,doute,école,suivre,classe,millions,réflexion,philosophie,réponse,champion,enfant,rencontre,jeu,comprendre,philosophie,énigme,énigme,dubitatif,réponse,dissertation,mur,réponse,pause,contrôle,nan,test,curiosité,école,doute,ambiguë,surprise,ignorer,parler,réponse,savoir,partiels,réponse,difficile,philosophie,réflexion,nan,police,curiosité,interrogation,progrès,nan,savoir,demande,interrogation,interrogation,curiosité
acte,pièce,théâtre,pièce,manqué,théâtre,action,faire,décision,action,acte,pièce,théâtre,responsabilité,manqué,scène,manqué,manqué,théâtre,faire,théâtre,décès,action,orthophonie,mort,rapport,faire,sexuel,théâtre,action,fait,officiel,actrice,parole,sexuel,théâtre,naissance,conséquence,conséquence,acte,théâtre,réalisation,théâtre,geste,théâtre,sexuel,paroles,action,naissance,action,droit,théâtre,théâtre,faire,papier,décision,théâtre,théâtre,théâtre,fait,passage,fait,action,théâtre,loi,théâtre,geste,tâche,pouvoir,théâtre,théâtre,théâtre
acte,théâtre,spectacle,comédie,partie,coulisse,théâtre,finir,preuve,théâtre,acte,fatigue,notarial,nan,réflexion,théâtre,pressé,immobilité, ,théâtre,décision,extrait,théâtre,décision,amour,théâtre,théâtre,action,état-civil,investigation,fait,héroïque,théâtre,paresseux,courage,mariage,jeu,notariat,remord,manqué,manqué,je,théâtre,manque,théâtre,théâtre,chef,théâtre,théâtre,volonté,faux,réplique,divorce,naissance,naissance,papier,théâtre,suicide,chapitre,manqué,épilogue,théâtre,théâtre,meurtre,générosité,loi,médical,agir,théâtre,affirmation,comptabiliser,pacte,théâtre
rose,fleur,fleur,fleur,rouge,pâle,fleur,odorant,fleur,bleue,rose,couleur,fil,fleur,sable,fleur,flamant,bleu,fleur,fleur,bleu,fleur,couleur,fleur,rouge,fleur,bleu,bleu,pétale,fille,fleur,fleur,rose,fleur,fleur,fleur,fleur,rouge,rose,rose,parfum,sexe,fleur,fleur,fleur,rouge,fleur,fleur,fleur,fleur,rouge,fleur,amour,fleur,fleur,fleur,fleur,fleur,fleur,bleu,fleur,fleur,fleur,beige,plante,prince,fleur,fleur,désir,rouge,rouge,fleur
rose,délicat,beauté,douleur,nan,pétale,amour,nan,amour,flamant,fleur,jeunesse,nan,gaieté,cadeau,nom,téléphone,fille,niais,nuage,barbe à papa,épine,flamant,sensible,fleur,saveur,éternelle,genre,rosée,panthère,fleur,fille,odeur,neige,amour,cliché,bébé,lèvre,organe,beauté,prénom,séduction,fille,parfum,britannique,tulipe,amour,déclaration,tulipe,vent,crevette,manger,prince,féminité,fleur,amie,poème,couler,eau,octobre,poème,prénom,panthère,cliché,huile,prince,odeur,prénom,tulipe,épine,épine,saint-valentin
oncle,tante,tante,doigt,tante,tante,tante,raciste,tante,tante,oncle,famille,tante,tante,tante,tante,tante,tante,tante,tante,tante,tante,tante,famille,tante,tante,famille,tante,tante,tante,tante,tonton,tante,tante,tata,cousin,tante,tante,mère,oncle,tante,proche,tante,famille,tante,tante,tante,famille,tante,famille,tante,tante,tante,tante,famille,tante,tante,famille,famille,famille,tante,tante,tante,tante,tante,tante,tante,tante,tante,tante,tante,tante
oncle,nan,raciste,frère,famille,maman,père,nan,blague,nan,tante,raciste,riz,rôle,gentil,parrain,famille,famille,nan,frère,famille,cousin,noël,protection,frère,nan,nan,américain,famille,famille,ben,tante,riz,secret,cousin,nan,nan,main,parenté,joie,tante,Sam,respect,noël,lien,riz,famille,vacances,proche,nan,pêche,famille,noël,injure,raciste,barbe,famille,vieux,noël,parrain,parrain,frère,famille,riz,crier,viol,famille,terrible,Sam,Amérique,nan,mafia,généalogie,famille
