cues,p_23f,p_23d,p_24f,p_24d,p_25f,p_25d,p_26f,p_26d,p_27f,p_27d,p_28f,p_28d,p_29f,p_29d,p_30f,p_30d,p_31f,p_31d,p_32f,p_32d,p_33f,p_33d,p_34f,p_34d,p_35f,p_35d,p_36f,p_36d,p_37f,p_37d,p_38f,p_38d,p_39f,p_39d,p_40f,p_40d,p_41f,p_41d,p_42f,p_42d,p_43f,p_43d,p_44f,p_44d,p_45f,p_45d,p_46f,p_46d,p_47f,p_47d,p_48f,p_48d,p_49f,p_49d,p_50f,p_50d,p_52f,p_52d,p_53f,p_53d,p_54f,p_54d,p_55f,p_55d,p_56f,p_56d,p_57f,p_57d,p_58f,p_58d,p_59f,p_59d,p_60f,p_60d,p_61f,p_61d,p_62f,p_62d,p_63f,p_63d,p_64f,p_64d,p_65f,p_65d,p_66f,p_66d,p_67f,p_67d,p_68f,p_68d,p_69f,p_69d,p_70f,p_70d,p_71f,p_71d,p_73f,p_73d,p_74f,p_74d,p_76f,p_76d,p_77f,p_77d,p_78f,p_78d,p_79f,p_79d,p_80f,p_80d,p_81f,p_81d,p_82f,p_82d,p_83f,p_83d,p_84f,p_84d,p_85f,p_85d,p_86f,p_86d,p_87f,p_87d,p_88f,p_88d,p_89f,p_89d,p_90f,p_90d,p_91f,p_91d,p_92f,p_92d
machine,laver,dinosaure,écrire,temps,laver,complexe,industrie,automatique,écrire,coudre,laver,minéraux,production,corps,fer,machin,machine,pain,robot,arrière,fumée,transformer,outils,possibilité,laver,coudre,rouage,artificiel,robot,bruyant,guerre,ordinateur,robot,intelligence,robot,,homme,sport,café,lessive,technologie,futur,rouages,métabolisme,couture,voiture,chose,aujourdhui,humain,industrie,roue,robot,écrire,mécanique,continue,hit,fonctionnement,temps,ordinateur,film,robot,ouvrier,ménage,utile,écran,club,ordinateur,Turing,écrire,laver,fer,auto,machine,objet,bête,accoutumance,industrie,risque,outil,ingénieur,robot,IA,rouage,dieu,écrire,voiture,robot,rouage,robot,automate,écrire,truc,écrire,cerveau,recherche,traitement,laver,temps,fabriquer,vapeur,laver,usine,métal,coudre,progrès,robot,développement,vapeur,robot,écrire,coudre,fabriquer,outil,écrire,ordinateur,futur,robot,laver,Learning,turbo,écrire,animal,écrire,futur,écrire,éléphant,outil,,robot,truc,animal,révolution,automatique,futur
rapport,sexuel,temps,envie,balance,sexuel,autopsie,cours,notice,stage,relation,sexuel,aucun,écrit,calcul,dossier,,rapport,mathématiques,sexuel,,force,ministériel,compte-rendu,social,terre,force,relation,,écrit,brouillé,feuille,complet,dossier,individu,protéger,connaître,nuit,rendu,stage,lien,lien,lien,écrit,lien,sexe,projet,papier,travail,lien,devoir,division,mathématiques,dossier,domination,acte,synthèse,analyse,compte,sexe,latex,stage,policier,,lien,dossier,intimité,sexuel,logique,sexuel,,feuille,entreprise,rapport,report,corrélation,division,ratio,ensemble,lien,lien,lien,,papier,amour,humain,hiérarchie,sociaux,électrique,dossier,personnes,dossier,,lien,causalité,écriture,rendu,dossier,collaborateur,échange,vitesse,dossier,rapprochement,dossier,aucun,connexion,lien,lien,aucun,lien,force,relatif,mesure,écrit,sexuel,feuille,,sexuel,relation,sexuel,,stage,incident,loi,inter-personnel,écrit,force,bilan,lien,lien,synthèse,sexuel,relation,compte-rendu,synthèse
genre,féminin,littérature,sexe,mystère,masculin,nouveau,mâle,neutre,féminin,sexe,féminin,débat,féminin,croyance,étude,expression,genre,sexe,féminin,exemple,féminin,expression,sexe,critère,sexe,transsexuel,féminin,relatif,sexe,comédie,masculin,type,sexe,rôle,femme,binaire,flou,type,féminin,féminisme,type,littéraire,sexe,hétéroclite,femme,indéfini,femme,lutte,classe,binaire,sexe,conservatisme,trans,non-binaire,type,sexe,mixte,sexe,sexe,variété,féminin,espèce,sexe,identité,sexe,ouverture,film,,féminin,roman,femme,livre,genre,féminin,domaine,préjugé,société,ressentiment,femme,sexe,identité,sexualité,féminin,comme,femme,,sexe,manifestation,fluide,façon,,sexe,sexe,,femme,ambiguë,social,trouble,sexe,vice,neutre,neutre,masculin,tic,constructionsociale,caractère,masculin,pronom,nom,film,sexe,style,sexe,absence,sexe,,sexe,classification,sexe,fille,féminin,transformation,sexe,Trans,femme,nombre,nombre,type,vague,mauvais,féminin,questionnement,sexe,style
jardin,vert,,fleur,voltaire,forêt,secret,herbe,air,cour,enfant,herbe,feu,arbre,,vert,,jardin,herbe,vert,beauté,herbe,piscine,fleur,famille,herbe,tondeuse,potager,français,fleur,travail,fleur,potager,florissant,insecte,arbre,fruit,vert,arrosage,pelouse,insecte,nature,nain,vert,cultiver,herbe,jeux,plante,arrosage,plante,propriété,été,voltaire,hérisson,arbuste,verdure,,potager,nain,bêche,balançoire,fleur,tondeuse,fleur,joli,herbe,anglais,potager,cabane,balançoire,repos,verdure,plante,jardin,beau,fleur,limace,sérénité,loisir,maison,jeu,parc,patrimoine,fleur,campagne,maison,balançoire,fleur,nain,fleur,verdure,plante,nain,verdure,pis,verdure,jaune,cultiver,candide,vert,évasion,herbe,balcon,herbe,ginkgo,campagne,danse,vert,cactus,prairie,barrière,nature,cultiver,maison,potager,plante,terre,pluie,football,herbe,herbe,clôture,fraîcheur,maison,Eden,herbe,secret,fleur,herbe,fruit,Eden,fleur,cultiver,plante,potager
rayon,soleil,espace,uv,disque,soleil,roue,soleil,signal,soleil,supermarché,source,uranium,soleil,entourage,action,griffonner,rayon,soleil,soleil,radio,magasin,vélo,soleil,,soleil,lumière,diamètre,miel,x,supermarché,soleil,diamètre,magasin,laser,laser,soleil,laser,planète,disque,magasin,soleil,cercle,soleil,prénom,diamètre,vélo,soleil,miel,lumière,miel,supermarché,diamètre,supermarché,soleil,soleil,diamètre,couleur,soleil,UV,consommation,vélo,lune,diamètre,faisceau,diamètre,cancer,cercle,diamètre,cercle,fromage,solaire,jubile,rayon,lumière,soleil,bicyclette,géométrie,rapport,cercle,vélo,endroit,cercle,lumière,diffraction,magasin,diamètre,lumineux,course,soleil,vélo,vélo,lumière,cercle,supermarché,magasin,soleil,disque,expert,soleil,diamètre,soleil,soleil,UV,vélo,magasin,cosmétique,périmètre,diamètre,soleil,courbure,lumière,choix,diamètre,vélo,cercle,cercle,miel,superman,rapporteur,supermarché,soleil,chaleureux,soleil,mathématiques,soleil,infrarouge,soleil,cercle,soleil,X,soleil,magasin,solaire,roue
colline,montagne,yeux,espace,espace,montagne,monticule,montagne,horizon,mont,verte,herbe,,montagne,balade,mont,,colline,hauteur,mont,prénom,yeux,horizon,prairie,rêverie,siffler,dune,mont,vallon,montagne,verdure,montagne,fleur,montagne,prénom,montagne,film,montagne,luge,montagne,paysage,nature,descente,comté,cacher,herbe,roulade,herbe,vélo,paysage,géographie,dune,art,relief,Windows,falaise,montagne,montagne,yeux,montagne,minecraft,montagne,fille,montagne,nature,falaise,yeux,vallée,dévaler,montagne,vert,chameau,planète,colline,montagne,prairie,rouler,pente,diversion,montage,,mont,,onde,onde,montagne,ski,yeux,paysage,montagne,écran,campagne,herbe,paysage,luge,montagne,obstacle,mont,bleue,yeux,yeux,montagne,randonnée,dune,yeux,montagne,paysage,yeux,hauteur,montagne,nature,montagne,randonnée,paysage,montagne,montagne,coq,paysage,rouler,montagne,bosse,yeux,montagne,montagne,épreuve,montagne,randonnée,sursaut,hauteur,pré,yeux,montagne,vallée,dune,bosse
chien,chat,guide,chat,ombre,chat,ami,chat,niche,chat,aveugle,croquette,jouer,chat,compagnie,chat,puce,chien,chat,chat,temps,chat,fidèle,chat,famille,chat,animal,chat,ami,chat,rage,chat,balle,chat,enfer,chat,poil,chienne,promenade,chat,griffe,chat,aveugle,chat,fidèle,chat,laisse,chat,chasse,animal,patte,chat,disney,animal,bave,animal,pâté,aboyer,chat,laisse,confinement,chat,rage,méchant,rage,chat,réponse,chat,ami,chat,morsure,corbeau,homme,chien,chat,chat,pitbull,domestication,ami,chat,os,animal,garde,chat,loup,chat,croquette,chat,crotte,patte,ami,chat,,chat,loup,chat,animal,compagnie,,chat,fidèle,chat,laisse,chat,,affection,mouillé,attachant,odeur,chat,compagnon,chat,fidélité,chat,compagnon,chat,bave,chat,os,animal,aboiement,chat,fidèle,chat,ami,chat,couleur,chat,aboiement,chat,dingo,chat,domestique,chat,fidèle
peau,grain,,aire,tatouage,poil,couleur,cuir,chaleur,barrière,fleur,douce,poil,vêtement,couverture,beige,peau,peau,peau,épiderme,caresse,joie,enveloppe,,couverture,bronzage,douceur,épiderme,caresse,corps,sèche,corps,cancer,douce,cellule,blanc,couleur,nue,brûlure,beige,lisse,épiderme,couleur,douce,barrière,soleil,plage,beige,transpiration,cellule,couche,clair,interaction,doux,ride,protection,crème,couleur,doux,cancer,métal,blanche,rôtir,bronzage,teint,bouton,organe,corps,contact,corps,couleur,muqueuse,marron,peau,couleur,poli,chagrin,protection,,corps,organe,humain,camouflage,corps,texture,organe,blanche,douceur,crème,surface,barrière,épiderme,chagrin,contact,carapace,cellule,soleil,chagrin,boucler,bronzé,noire,pore,aspect,dermatologie,dermatose,enveloppe,toucher,lisse,orange,derme,barrière,douce,enveloppe,corps,bête,bouton,bactérie,chair,pli,tache,soleil,pli,pêche,épiderme,barrière,toucher,volupté,fleur,protection,corps,tatouage,fine,bronzage,épiderme,tatouage
mur,plafond,son,obstacle,guerre,plafond,façade,maison,séparation,sol,brique,salpêtre,casser,maison,séparation,brique,précoce,mur,béton,brique,frontière,parpaing,cassis,sol,,blanc,maison,parpaing,chute,brique,glace,maison,dos,bloc,peint,prison,prison,murmure,obstacle,brique,poule,salle,bruit,maison,silence,toit,tableau,béton,ville,maison,bâtiment,brique,rupture,vertical,son,séparation,dur,plafond,escalader,brique,séparé,séparation,prison,peinture,prison,toit,dessin,bâtiment,barrière,blanc,solide,blanc,dur,mur,barrage,cogner,son,frontière,soi,maison,framboise,stop,apartheid,brique,baguette,toit,brique,brique,escalade,obstacle,frein,coin,framboise,cloison,frontière,pierre,obstacle,mature,adolescence,porte,gravir,brique,bloquer,béton,portugais,Berlin,stop,dur,Facebook,brique,béton,mature,blocage,maison,maçon,brique,dur,cuit,portugais,dur,dur,brique,son,appartement,obstacle,haut,enceinte,ascension,obstacle,brique,fruit,blanc,frontière,brique,obstacle
science,curiosité,magie,vie,dépassement,biologie,progrès,astronomie,théorème,étude,conscience,vie,absolue,naturelle,maladie,cognitive,étonnante,science,science,recherche,humaine,neurone,junior,recherche,,direct,raison,savoir,paradigme,infuse,microbe,mathématiques,dur,logique,astrologie,astronomie,savoir,long,recherche,physique,humaines,futur,film,expérience,avancer,cerveau,cortex,vert,études,progrès,évolution,laboratoire,religion,calcul,biologie,vérité,nature,expert,espace,technologie,univers,mathématiques,vaccin,mathématiques,savoir,mathématiques,trouvaille,recherche,preuve,psychologie,concours,cerveau,émotion,science,futur,fondamentale,vulgarisation,rationalité,réglage,vie,médecin,domaine,intelligence,chimie,bécher,médecine,terre,savoir,sport,rocket,paradigme,recherche,microscope,étude,quantique,recherche,difficile,dure,réponse,découverte,,technique,étude,vie,explosion,recherche,art,humaine,école,solution,fiction,découverte,compréhension,recherche,origine,expérience,compliqué,savoir,autorité,occulte,art,mathématiques,confiance,médecine,religion,sociale,inexact,connaissance,idée,recherche,Nobel,cognitive,religion,vie,espace
enfant,période,,,connexion,futur,marmot,petit,adolescent,bébé,jouer,pleurs,habit,parent,cadeau,petit,,enfant,bébé,petit,rire,bambin,adulte,,apprentissage,petit,ennui,jeune,commencement,petit,coquin,adulte,jeu,parents,caprice,petit,bonbon,bébé,découverte,parent,psychomotricité,adulte,sagesse,âge,fragile,main,casquette,dieu,école,adulte,jouer,parent,développement,petit,élever,Pokémon,jouet,,question,bêtise,blond,parent,éducation,maman,obligation,couche,imagination,parent,innocence,adolescent,couple,joie,chat,enfant,petit,bébé,apprenant,début,nécessité,famille,cri,jeune,amour,famille,innocence,adulte,âge,jeune,vieux,vie,possibilité,petit,lait,jeune,pleurs,grossesse,petit,naissance,rose,jeune,amour,parent,régression,jouet,bronchiolite,bébé,avenir,sage,mignon,adulte,descendant,jeune,innocence,parent,jeu,adulte,pleurs,pédiatrie,imagination,dessin,joie,bébé,union,parent,avenir,parent,arbre,adulte,petit,jeune,lait,petit,éducation,bébé,mignon
lune,ciel,prince,soleil,poésie,miel,astre,soleil,astéroïde,miel,miel,ciel,cratère,soleil,poésie,soleil,plombier,lune,lune,nuit,cinéma,pleine,loup-garou,nuit,lumière,ciel,viser,soleil,sorcellerie,ciel,étoile,soleil,fusée,nuit,voyage,soleil,nuit,terre,gravité,ciel,croissant,nuit,mission,espace,ailleurs,ciel,chine,soleil,américains,espace,voyage,soleil,,croissant,miel,loup,miel,ronde,astronaute,nuit,cinéma,ciel,clown,soleil,nuit,ciel,miel,astre,illuminer,soleil,croissant,saturne,beauté,,étoile,terre,trous,nuit,,nuit,croissant,astre,espace,soleil,miel,soleil,croissant,nuit,planète,soleil,féminité,soleil,loup,ciel,mission,soleil,astre,satellite,fesses,ciel,voyage,miel,miel,espace,fesses,nuit,rêve,soleil,périmètre,nuit,Encelade,miel,distance,soleil,fesses,terre,rêver,miel,visage,ciel,astrologie,soleil,Charles,soleil,astre,croissant,spiritualité,espace,nuit,soleil,astre,ciel,astre,soleil,rêve
cause,défendre,,effet,,animale,idée,problème,solution,effet,lien,débat,dissertation,conséquence,imprévisible,conséquence,parle,cause,humanitaire,juste,victime,effet,parle,conséquence,phénomène,effet,effet,idéal,juste,,,effet,pourquoi,effet,action,conséquence,début,conséquence,raison,conséquence,pollution,conséquence,climat,conséquence,enchaînement,conséquence,moteur,raison,animal,effet,but,animale,origines,effet,engagement,conséquence,action,conséquence,histoire,conséquence,culpabilité,effet,papillon,,peur,raison,état,conséquence,début,conséquence,,mortalité,trouble,cause,effet,conséquence,déterminisme,explication,essence,conséquence,fautif,raison,,conséquence,montagne,conséquence,raison,effet,résultat,problème,engagement,conséquence,implication,problème,nous,effet,lien,conséquence,aérosol,solution,conséquence,effet,acte,effet,raison,raison,dommage,effet,faute,effet,corrélation,effet,provoquer,conséquence,origine,étiologie,décès,but,parler,effet,effet,causalité,effet,agir,lutte,explication,lutte,réponse,conséquence,effet,conséquence,conséquence,origine,problème,conséquence
table,chaise,ronde,chaîne,manger,chaise,plan,ici,fête,chaise,manger,repas,écharde,chaise,opératoire,chaise,,table,cuisine,chaise,repasser,pluie,rase,chaise,convivialité,ronde,repas,chaise,loi,manger,banc,chaise,assiette,ronde,,chaise,chaise,chaise,multiplication,chaise,manger,dîner,partage,chaise,assise,chaise,sale,coin,rassemblement,chaise,salon,chaise,soutien,manger,opération,tabouret,langer,assiette,manger,serviette,compter,chaise,salon,manger,aménager,chaise,poulet,repas,ronde,cuisine,pieds,chevet,restaurant,table,objet,chaise,pliable,manière,coutume,chaise,pieds,chaise,service,chaise,repas,manger,poser,chaise,repas,chaise,,ronde,,diner,réunion,chaise,mobilier,plateau,pari,chaise,cène,chaise,matière,chaise,sexe,diner,menuiserie,cuisine,assiette,chaise,manufacture,manger,support,salon,accouchement,stylo,sel,travail,maison,chevet,pied,ovale,chevalier,chaise,langer,chaise,réunion,rond,plateau,repas,multiplication,chaise,solide,chaise,réunion
toit,maison,grenier,toiture,feu,maison,protection,maison,,maison,tuile,tuile,jambe,maison,protection,tuile,moi,toit,maison,maison,clochard,maison,moi,maison,ardoise,maison,chaleur,maison,,maison,pluie,maison,chat,maison, ,maison,montagne,maison,abri,maison,chat,maison,protection,maison,protection,mur,famille,maison,chaleur,maison,pluie,maison,noël,ardoise,cheminée,plafond,haut,maison,dessin,tuile,sec,maison,étoile,maison,sécurité,maison,plat,maison,sdf,maison,bois,charpentier,chapelle,toit,abri,maison,tortue,technique,pratique,maison,tuile,maison,abri,maison,abri,maison,cheminée,tuile,cheminée,maison,protection,tuile,protection,maison,entrée,tuile,maison,émeraude,alpinisme,maison,combles,tuile,maison,couverture,cambrioleur,vue,tuile,maison,tomber,maison,protection,loger,sécurité,maison,sdf,maison,,maison,ardoise,maison,tuile,maison,tête,maison,abris,maison,montagne,jardin,protection,maison,moi,maison,domicile,maison,ciel
jeunesse,présent,possible,vitalité,inéxperience,futur,elixir,vieillesse,fleur,vieillesse,vigueur,décrépitude,devoir,nostalgie,chanson,vieux,,jeunesse,jeune,vingtaine,esprit,héros,adolescent,vieillesse,réalisation,allons,gentil,âge,fougue,vieillesse,retraite,vieillesse,bébé,innocence,coup,vieillesse,enfance,vieux,liberté,vieux,guerre,fraîcheur,début,enfance,fleur,école,ride,vieillesse,unique,avant,apprentissage,bonheur,temps,adolescence,insouciance,ignorance,minikeums,enfance,dessin,adolescent,inconscience,enfant,auberge,danser,fraicheur,ambition,possible,enfance,expérimentation,vieillesse,alcool,vieillesse,passé,jeunesse,vif,vieillesse,spontanéité,formation,éclosion,vie,joie,dynamisme,jouvence,vieillesse,jouet,vieillesse,spot,enfant,sport,vie,idéal,vieillesse,vie,enfant,dynamisme,vieillesse,courte,liberté,coronavirus,candide,liberté,adulte,liberté,liberté,beauté,chaos,liberté,vieillesse,apprentissage,vieillesse,légalité,fleur,fondement,vieillesse,,vieillesse,jeu,vieux,croissance,ride,peau,vieillesse,désabusée,vieillesse,sacrifié,insouciance,livre,vie,fougue,vieillesse,fougue,vieux,jadis,vieillesse,avenir
nord,sud,ours,sud,viking,sud,pôle,sud,pôle,sud,pôle,pôle,froid,sud,,pôle,,nord,sud,sud,magnétisme,sud,pôle,sud,froideur,sud,froid,sud,coron,sud,levant,sud,froid,pôle,haut,ouest,direction,sud,vent,sud,boussole,sud,froid,sud,droit,sud,ours,sud,VPN,sud,froid,sud,étoile,froid,boussole,haut,boussole,haut,frites,sud,navire,sud,carte,froid,,sud,ale,sud,noël,sud,inuit,sud,frites,nord,sud,sud,frites,repère,glace,sud,froid,sud,boussole,sud,boussole,sud,pole,sud,boussole,froid,,sud,polaire,sud,borée,sud,direction,direction,coron,sud,pôle,sud,pluie,sud,viking,glacier,Lille,sud,froid,sud,fiord,sud,glacier,sud,pôle,sud,adultère,viking,carte,sud,froid,sud,prudence,sud,glace,sud,manchot,sud,pole,sud,sud,sud,pôle,sud,
direction,panneau,nord,diriger,inverse,lieu,route,pôle,panneau,sens,avant,,vecteur,chemin,vecteur,sens,direction,direction,assister,sens,assister,futur,rond-point,sens,projet,sens,route,environ,guide,sens,voiture,gauche,opposée,sens,azimut,droite,décision,localisation,autorité,sens,entreprise,voie,vent,droite,trouver,passage,demander,chemin,choix,sens,indication,générale,choix,sens,assistée,sens,one,trajet,philosophie,droite,chemin,voiture,interdit,vacances,sortir,plan,artistique,sens,cap,flèche,opposition,droite,solaire,direction,lieu,,chanteur,sens,croyance,chef,aller,marche,marche,sens,guitare,droite,plan,gauche,demande,flèche,objectif,sens,boussole,chemin,choix,sens,mauvaise,sens,doigt,chemin,générale,sud,chemin,chef,argent,flèche,film,flèche,voyage,sens,PDG,sens,pouvoir,lieu,avenir,sens,groupe,one,haut,sens,sens,carrefour,vie,voyage,chemin,GPS,,chemin,cheminement,sens,one,adresse,voyage,chemin,flèche
mer,plage,sirène,vague,sel,montagne,étendue,océan,abysse,terre,fruit,plongée,,eau,calme,eau,maman,mer,terre,eau,écologie,terre,maman,océan,voie,eau,poisson,eau,horizon,poisson,boire,océan,tempête,océan,peinture,océan,bleu,bleu,surf,vague,coquillage,plage,peur,danser,profond,eau,pollution,vague,voyage,eau,carbone,océan,monde,vague,écume,océan,requin,plage,SOS,sel,grand,poisson,,plage,bateau,sable,poulpe,eau,bleue,plage,boire,vague,naturel,mer,océan,vague,moule,force,,bleue,vague,eau,récif,océan,abysse,plage,baignade,océan,marin,sable,lisse,océan,sel,plongée,mérou,eau,sel,rive,,eau,noyade,vague,vacances,méditer,migrant,océan,plage,plage,algue,ciel,iode,sel,immensité,plage,sel,océan,froid,océan,fond,oiseau,eau,sable,ivre,vague,bleue,large,bible,eau,noyade,sel,sable,océan,mouette,océan,algue
objet,rare,fabrication,sol,où,concret,matière,truc,matériel,truc,sujet,informe,matériel,chaise,décoration,chose,,objet,utile,chose,art,quotidien,truc,chose,émotion,chose,élément,truc,sujet,toucher,toucher,cube,câble,matériel,souris,truc,bien,e-mail,production,chose,idée,inerte,loisir,utile,réification,jouet,famille,truc,consommation,utiliser,prendre,stylo,personnifier,chose,mail,téléphone,truc,chose,bac,truc,homme,chose,,jouet,outil,chose,tête,utile,inerte,matériel,contact,lampe,pot,objet,chose,chose,,sujet,détection,trouvé,bien,chose,tout,chose,réifier,lampe,,rare,brocante,forme,possession,chose,ombre,stylo,,quelconque,chose,produit,regard,utile,palpable,table,placer,chose,dessein,vêtement,bibelot,e-mail,lampe,chose,complément,possession,désir,divers,femme,chose,esclave,perdu,lâche,sceau,attention,trouvé,précieux,stylo,psychanalyse,chose,utilisation,chose,valeur,chose,fabrication,chose,tout,matériel,toucher
